day_of_week,is_weekend,month,menu_category,is_festival,festival_type,is_poya_day,temperature_avg,rainfall_mm,is_heavy_rain,supplier_invoice_qty,daily_demand_qty
3,1,1,3,0,2,0,28.6,12.0,0,186,200
3,1,1,1,0,2,0,30.2,2.4,0,166,142
3,1,1,2,0,2,0,32.1,3.7,0,103,107
3,1,1,4,0,2,0,26.4,5.1,0,109,99
3,1,1,0,0,2,0,27.3,0.8,0,155,159
1,0,1,3,0,2,0,26.0,0.1,0,170,145
1,0,1,1,0,2,0,27.0,1.4,0,159,121
1,0,1,2,0,2,0,26.6,3.9,0,187,155
1,0,1,4,0,2,0,30.1,0.2,0,130,113
1,0,1,0,0,2,0,29.2,0.1,0,168,158
5,0,1,0,0,2,0,27.3,14.0,0,169,137
5,0,1,2,0,2,0,26.2,9.6,0,115,86
5,0,1,4,0,2,0,31.3,2.2,0,133,111
5,0,1,3,0,2,0,31.7,1.5,0,132,100
5,0,1,1,0,2,0,27.7,4.6,0,123,101
6,0,1,3,0,2,0,28.8,10.5,0,174,162
6,0,1,1,0,2,0,26.6,0.9,0,141,110
6,0,1,2,0,2,0,28.7,1.3,0,132,112
6,0,1,4,0,2,0,32.8,3.7,0,188,138
6,0,1,0,0,2,0,31.6,0.3,0,150,121
4,0,1,3,0,2,0,28.8,1.4,0,142,128
4,0,1,1,0,2,0,30.9,5.2,0,112,95
4,0,1,2,0,2,0,32.5,4.2,0,107,98
4,0,1,4,0,2,0,30.4,1.6,0,127,101
4,0,1,0,0,2,0,30.7,4.4,0,123,106
0,0,1,0,0,2,0,28.2,2.8,0,173,127
0,0,1,2,0,2,0,29.5,3.0,0,94,68
0,0,1,4,0,2,0,29.1,0.9,0,175,150
0,0,1,3,0,2,0,32.2,2.6,0,180,170
0,0,1,1,0,2,0,31.9,5.1,0,198,177
2,1,1,3,0,2,0,30.2,3.1,0,108,98
2,1,1,1,0,2,0,26.5,1.4,0,165,182
2,1,1,2,0,2,0,30.4,1.4,0,196,216
2,1,1,4,0,2,0,31.6,0.8,0,109,120
2,1,1,0,0,2,0,28.3,0.5,0,168,157
3,1,1,3,0,2,0,26.8,1.0,0,141,118
3,1,1,1,0,2,0,28.5,1.5,0,149,148
3,1,1,2,0,2,0,28.9,1.0,0,130,120
3,1,1,4,0,2,0,27.7,0.7,0,111,111
3,1,1,0,0,2,0,30.9,1.8,0,192,176
1,0,1,2,0,2,0,28.9,0.1,0,175,162
1,0,1,0,0,2,0,29.9,3.6,0,134,119
1,0,1,4,0,2,0,27.7,0.6,0,123,100
1,0,1,1,0,2,0,28.0,0.2,0,192,181
1,0,1,3,0,2,0,27.7,4.8,0,82,64
5,0,1,3,0,2,0,27.7,5.2,0,103,84
5,0,1,1,0,2,0,32.9,2.0,0,191,172
5,0,1,2,0,2,0,27.1,2.8,0,159,113
5,0,1,4,0,2,0,30.1,4.5,0,98,86
5,0,1,0,0,2,0,31.7,1.7,0,150,112
6,0,1,3,0,2,0,30.8,2.0,0,161,146
6,0,1,1,0,2,0,30.7,5.3,0,129,120
6,0,1,2,0,2,0,32.1,1.2,0,95,86
6,0,1,4,0,2,0,29.9,3.0,0,81,77
6,0,1,0,0,2,0,32.8,3.3,0,111,95
4,0,1,0,0,2,0,26.0,0.7,0,161,132
4,0,1,4,0,2,0,30.1,1.9,0,168,145
4,0,1,3,0,2,0,28.4,1.7,0,127,116
4,0,1,1,0,2,0,32.0,2.1,0,112,96
4,0,1,2,0,2,0,26.6,0.7,0,117,101
0,0,1,3,0,2,0,29.1,20.8,1,179,134
0,0,1,1,0,2,0,27.7,1.6,0,99,78
0,0,1,2,0,2,0,31.2,5.1,0,112,94
0,0,1,4,0,2,0,29.6,4.0,0,101,77
0,0,1,0,0,2,0,32.8,2.0,0,133,123
2,1,1,4,0,2,1,29.3,1.3,0,85,81
2,1,1,2,0,2,1,30.0,5.9,0,96,109
2,1,1,0,0,2,1,26.1,10.5,0,192,193
2,1,1,3,0,2,1,29.0,1.7,0,176,178
2,1,1,1,0,2,1,29.4,0.9,0,140,139
3,1,1,3,0,2,1,30.0,15.7,0,195,181
3,1,1,1,0,2,1,28.7,7.6,0,146,130
3,1,1,2,0,2,1,29.9,11.0,0,137,153
3,1,1,4,0,2,1,26.5,0.9,0,126,143
3,1,1,0,0,2,1,27.0,2.9,0,81,76
1,0,1,3,0,2,0,31.9,0.6,0,197,156
1,0,1,1,0,2,0,28.1,6.6,0,178,136
1,0,1,2,0,2,0,30.3,0.3,0,86,71
1,0,1,4,0,2,0,31.6,4.2,0,189,170
1,0,1,0,0,2,0,32.2,1.6,0,171,144
5,0,1,4,0,2,0,26.9,3.0,0,132,101
5,0,1,2,0,2,0,27.8,0.2,0,94,74
5,0,1,0,0,2,0,32.8,2.4,0,85,61
5,0,1,3,0,2,0,29.1,4.5,0,130,106
5,0,1,1,0,2,0,29.8,1.4,0,137,125
6,0,1,3,0,2,0,29.7,3.1,0,134,98
6,0,1,1,0,2,0,26.9,14.0,0,185,144
6,0,1,2,0,2,0,31.6,1.3,0,171,152
6,0,1,4,0,2,0,27.8,0.8,0,141,128
6,0,1,0,0,2,0,30.9,2.1,0,137,127
4,0,1,3,0,2,0,29.1,1.1,0,197,173
4,0,1,1,0,2,0,30.6,1.3,0,95,79
4,0,1,2,0,2,0,30.6,2.3,0,172,138
4,0,1,4,0,2,0,27.7,1.8,0,180,131
4,0,1,0,0,2,0,28.4,0.4,0,126,89
0,0,1,0,0,2,0,29.5,7.8,0,148,129
0,0,1,4,0,2,0,32.2,1.2,0,89,76
0,0,1,2,0,2,0,29.0,2.0,0,89,83
0,0,1,3,0,2,0,32.0,4.9,0,155,109
0,0,1,1,0,2,0,31.3,6.6,0,179,133
2,1,1,3,0,2,0,30.3,11.5,0,81,69
2,1,1,1,0,2,0,30.1,11.3,0,103,107
2,1,1,2,0,2,0,30.0,0.6,0,140,141
2,1,1,4,0,2,0,32.6,2.0,0,112,116
2,1,1,0,0,2,0,27.4,1.3,0,91,79
3,1,1,3,0,2,0,26.1,0.4,0,114,107
3,1,1,1,0,2,0,30.6,1.9,0,153,130
3,1,1,2,0,2,0,31.7,1.3,0,147,154
3,1,1,4,0,2,0,28.4,11.0,0,199,211
3,1,1,0,0,2,0,31.6,1.3,0,89,86
1,0,1,0,0,2,0,29.5,2.0,0,92,85
1,0,1,2,0,2,0,29.9,1.1,0,134,119
1,0,1,4,0,2,0,31.3,0.4,0,96,80
1,0,1,3,0,2,0,30.0,3.4,0,178,143
1,0,1,1,0,2,0,28.6,6.0,0,103,94
5,0,1,3,0,2,0,28.7,0.0,0,184,168
5,0,1,1,0,2,0,28.5,12.6,0,174,163
5,0,1,2,0,2,0,30.0,4.0,0,196,142
5,0,1,4,0,2,0,30.2,3.2,0,164,146
5,0,1,0,0,2,0,31.5,6.2,0,188,175
6,0,1,0,0,2,0,27.0,2.9,0,117,111
6,0,1,2,0,2,0,31.3,3.9,0,181,131
