date,day_of_week,is_weekend,month,menu_category,is_festival,festival_type,is_poya_day,temperature_avg,rainfall_mm,is_heavy_rain,supplier_invoice_qty,daily_demand_qty
2023-01-01,Sunday,1,1,Rice & Curry,0,None,0,28.6,12.0,0,186,200
2023-01-01,Sunday,1,1,Fried Rice,0,None,0,30.2,2.4,0,166,142
2023-01-01,Sunday,1,1,Kottu,0,None,0,32.1,3.7,0,103,107
2023-01-01,Sunday,1,1,Short Eats,0,None,0,26.4,5.1,0,109,99
2023-01-01,Sunday,1,1,Beverages,0,None,0,27.3,0.8,0,155,159
2023-01-02,Monday,0,1,Rice & Curry,0,None,0,26.0,0.1,0,170,145
2023-01-02,Monday,0,1,Fried Rice,0,None,0,27.0,1.4,0,159,121
2023-01-02,Monday,0,1,Kottu,0,None,0,26.6,3.9,0,187,155
2023-01-02,Monday,0,1,Short Eats,0,None,0,30.1,0.2,0,130,113
2023-01-02,Monday,0,1,Beverages,0,None,0,29.2,0.1,0,168,158
2023-01-03,Tuesday,0,1,Rice & Curry,0,None,0,31.7,1.5,0,132,100
2023-01-03,Tuesday,0,1,Fried Rice,0,None,0,27.7,4.6,0,123,101
2023-01-03,Tuesday,0,1,Kottu,0,None,0,26.2,9.6,0,115,86
2023-01-03,Tuesday,0,1,Short Eats,0,None,0,31.3,2.2,0,133,111
2023-01-03,Tuesday,0,1,Beverages,0,None,0,27.3,14.0,0,169,137
2023-01-04,Wednesday,0,1,Rice & Curry,0,None,0,28.8,10.5,0,174,162
2023-01-04,Wednesday,0,1,Fried Rice,0,None,0,26.6,0.9,0,141,110
2023-01-04,Wednesday,0,1,Kottu,0,None,0,28.7,1.3,0,132,112
2023-01-04,Wednesday,0,1,Short Eats,0,None,0,32.8,3.7,0,188,138
2023-01-04,Wednesday,0,1,Beverages,0,None,0,31.6,0.3,0,150,121
2023-01-05,Thursday,0,1,Rice & Curry,0,None,0,28.8,1.4,0,142,128
2023-01-05,Thursday,0,1,Fried Rice,0,None,0,30.9,5.2,0,112,95
2023-01-05,Thursday,0,1,Kottu,0,None,0,32.5,4.2,0,107,98
2023-01-05,Thursday,0,1,Short Eats,0,None,0,30.4,1.6,0,127,101
2023-01-05,Thursday,0,1,Beverages,0,None,0,30.7,4.4,0,123,106
2023-01-06,Friday,0,1,Rice & Curry,0,None,0,32.2,2.6,0,180,170
2023-01-06,Friday,0,1,Fried Rice,0,None,0,31.9,5.1,0,198,177
2023-01-06,Friday,0,1,Kottu,0,None,0,29.5,3.0,0,94,68
2023-01-06,Friday,0,1,Short Eats,0,None,0,29.1,0.9,0,175,150
2023-01-06,Friday,0,1,Beverages,0,None,0,28.2,2.8,0,173,127
2023-01-07,Saturday,1,1,Rice & Curry,0,None,0,30.2,3.1,0,108,98
2023-01-07,Saturday,1,1,Fried Rice,0,None,0,26.5,1.4,0,165,182
2023-01-07,Saturday,1,1,Kottu,0,None,0,30.4,1.4,0,196,216
2023-01-07,Saturday,1,1,Short Eats,0,None,0,31.6,0.8,0,109,120
2023-01-07,Saturday,1,1,Beverages,0,None,0,28.3,0.5,0,168,157
2023-01-08,Sunday,1,1,Rice & Curry,0,None,0,26.8,1.0,0,141,118
2023-01-08,Sunday,1,1,Fried Rice,0,None,0,28.5,1.5,0,149,148
2023-01-08,Sunday,1,1,Kottu,0,None,0,28.9,1.0,0,130,120
2023-01-08,Sunday,1,1,Short Eats,0,None,0,27.7,0.7,0,111,111
2023-01-08,Sunday,1,1,Beverages,0,None,0,30.9,1.8,0,192,176
2023-01-09,Monday,0,1,Rice & Curry,0,None,0,27.7,4.8,0,82,64
2023-01-09,Monday,0,1,Fried Rice,0,None,0,28.0,0.2,0,192,181
2023-01-09,Monday,0,1,Kottu,0,None,0,28.9,0.1,0,175,162
2023-01-09,Monday,0,1,Short Eats,0,None,0,27.7,0.6,0,123,100
2023-01-09,Monday,0,1,Beverages,0,None,0,29.9,3.6,0,134,119
2023-01-10,Tuesday,0,1,Rice & Curry,0,None,0,27.7,5.2,0,103,84
2023-01-10,Tuesday,0,1,Fried Rice,0,None,0,32.9,2.0,0,191,172
