restaurant_id,sale_date,dish_id,qty
rest-001,2025-06-01,1,34
rest-001,2025-06-01,2,14
rest-001,2025-06-01,3,24
rest-001,2025-06-01,4,9
rest-001,2025-06-01,5,8
rest-001,2025-06-01,6,8
rest-001,2025-06-01,7,7
rest-001,2025-06-01,8,5
rest-001,2025-06-02,1,23
rest-001,2025-06-02,2,11
rest-001,2025-06-02,3,13
rest-001,2025-06-02,4,13
rest-001,2025-06-02,5,8
rest-001,2025-06-02,6,8
rest-001,2025-06-02,7,5
rest-001,2025-06-02,8,15
rest-001,2025-06-03,1,27
rest-001,2025-06-03,2,13
rest-001,2025-06-03,3,32
rest-001,2025-06-03,4,9
rest-001,2025-06-03,5,14
rest-001,2025-06-03,6,9
rest-001,2025-06-03,7,1
rest-001,2025-06-03,8,9
rest-001,2025-06-04,1,40
rest-001,2025-06-04,2,16
rest-001,2025-06-04,3,12
rest-001,2025-06-04,4,8
rest-001,2025-06-04,5,7
rest-001,2025-06-04,6,6
rest-001,2025-06-04,7,7
rest-001,2025-06-04,8,17
rest-001,2025-06-05,1,29
rest-001,2025-06-05,2,33
rest-001,2025-06-05,3,17
rest-001,2025-06-05,4,14
rest-001,2025-06-05,5,11
rest-001,2025-06-05,6,8
rest-001,2025-06-05,7,7
rest-001,2025-06-05,8,11
rest-001,2025-06-06,1,31
rest-001,2025-06-06,2,13
rest-001,2025-06-06,3,12
rest-001,2025-06-06,4,17
rest-001,2025-06-06,5,5
rest-001,2025-06-06,6,4
rest-001,2025-06-06,7,2
rest-001,2025-06-06,8,7
rest-001,2025-06-07,1,50
rest-001,2025-06-07,2,25
rest-001,2025-06-07,3,22
rest-001,2025-06-07,4,10
rest-001,2025-06-07,5,5
rest-001,2025-06-07,6,13
rest-001,2025-06-07,7,13
rest-001,2025-06-07,8,10
rest-001,2025-06-08,1,29
rest-001,2025-06-08,2,32
rest-001,2025-06-08,3,14
rest-001,2025-06-08,4,15
rest-001,2025-06-08,5,9
rest-001,2025-06-08,6,14
rest-001,2025-06-08,7,10
rest-001,2025-06-08,8,12
rest-001,2025-06-09,1,42
rest-001,2025-06-09,2,27
rest-001,2025-06-09,3,27
rest-001,2025-06-09,4,14
rest-001,2025-06-09,5,8
rest-001,2025-06-09,6,8
rest-001,2025-06-09,7,5
rest-001,2025-06-09,8,12
rest-001,2025-06-10,1,48
rest-001,2025-06-10,2,18
rest-001,2025-06-10,3,30
rest-001,2025-06-10,4,15
rest-001,2025-06-10,5,13
rest-001,2025-06-10,6,13
rest-001,2025-06-10,7,6
rest-001,2025-06-10,8,10
rest-001,2025-06-11,1,40
